VendedorCodigo,VendedorNombre,Cargo
VEN001,Ana Pérez,Ejecutivo Comercial
VEN002,Carlos Soto,Ejecutivo Comercial
VEN003,María González,Ejecutivo Comercial
VEN004,Jorge Rojas,Ejecutivo Comercial
VEN005,Paula Silva,Ejecutivo Comercial
VEN006,Felipe Muñoz,Ejecutivo Comercial
VEN007,Daniela Torres,Ejecutivo Comercial
VEN008,Ricardo Castro,Ejecutivo Comercial
VEN009,Carolina Reyes,Ejecutivo Comercial
VEN010,Luis Contreras,Ejecutivo Comercial
VEN011,Patricia Morales,Ejecutivo Comercial
VEN012,Andrés Navarro,Ejecutivo Comercial
VEN013,Claudia Vega,Ejecutivo Comercial
VEN014,Rodrigo Fuentes,Ejecutivo Comercial
VEN015,Camila Herrera,Ejecutivo Comercial
VEN016,Sebastián Araya,Ejecutivo Comercial
VEN017,Marcela Sepúlveda,Ejecutivo Comercial
VEN018,Cristián Valdés,Ejecutivo Comercial
VEN019,Francisca Pino,Ejecutivo Comercial
VEN020,Eduardo Salazar,Ejecutivo Comercial
